"train/global_step","glad-glitter-9 - train/bpt","glad-glitter-9 - train/bpt__MIN","glad-glitter-9 - train/bpt__MAX","glad-glitter-9 - _step","glad-glitter-9 - _step__MIN","glad-glitter-9 - _step__MAX","sleek-moon-7 - train/bpt","sleek-moon-7 - train/bpt__MIN","sleek-moon-7 - train/bpt__MAX","sleek-moon-7 - _step","sleek-moon-7 - _step__MIN","sleek-moon-7 - _step__MAX","magic-universe-6 - train/bpt","magic-universe-6 - train/bpt__MIN","magic-universe-6 - train/bpt__MAX","magic-universe-6 - _step","magic-universe-6 - _step__MIN","magic-universe-6 - _step__MAX","visionary-oath-5 - train/bpt","visionary-oath-5 - train/bpt__MIN","visionary-oath-5 - train/bpt__MAX","visionary-oath-5 - _step","visionary-oath-5 - _step__MIN","visionary-oath-5 - _step__MAX"
"1940","","","","","","","","","","","","","4.464204575310579","4.464204575310579","4.464204575310579","393","393","393","","","","","",""
"1950","","","","","","","","","","","","","4.537071835861583","4.537071835861583","4.537071835861583","395","395","395","","","","","",""
"1960","","","","","","","","","","","","","4.587423402933868","4.587423402933868","4.587423402933868","397","397","397","","","","","",""
"1970","","","","","","","","","","","","","4.498005357580552","4.498005357580552","4.498005357580552","399","399","399","","","","","",""
"1980","","","","","","","","","","","","","4.451623975606905","4.451623975606905","4.451623975606905","401","401","401","","","","","",""
"1990","","","","","","","","","","","","","4.5934072984949275","4.5934072984949275","4.5934072984949275","403","403","403","","","","","",""
"2000","","","","","","","","","","","","","0","0","0","406","406","406","","","","","",""
"2010","","","","","","","","","","","","","4.598750042733572","4.598750042733572","4.598750042733572","408","408","408","","","","","",""
"2020","","","","","","","","","","","","","4.575229420229332","4.575229420229332","4.575229420229332","410","410","410","","","","","",""
"2030","","","","","","","","","","","","","4.456138176226752","4.456138176226752","4.456138176226752","412","412","412","","","","","",""
"2040","","","","","","","","","","","","","4.595855230754249","4.595855230754249","4.595855230754249","414","414","414","","","","","",""
"2050","","","","","","","","","","","","","4.616274386925888","4.616274386925888","4.616274386925888","416","416","416","","","","","",""
